"Carimbo de data/hora","Qual grupo pertence?","1 .Um objetivo em comum foi perseguido pela turma.","2. A aprendizagem foi alcançada pela turma.","3. Exercícios bem definidos foram desenvolvidos como parte da aprendizagem.","4. Ambientes distribuídos foram utilizados pela turma.","5. Houve um espaço virtual compartilhado.","6. As atividades foram organizadas.","7. As tarefas foram compartilhadas entre os estudantes.","8. Os recursos disponíveis foram utilizados ao longo das aulas.","9. As decisões foram tomadas com foco nos objetivos.","10. A motivação e o comprometimento dos participantes foram incentivados.","11. As tarefas foram monitoradas.","12. Os problemas foram resolvidos de forma eficiente.","13. Houve apoio para melhorar sua auto-organização.","14. Os objetivos e as tarefas cumpridas pela turma foram bem definidas.","15. Após o planejamento das atividades, foi permitido fazer ajustes.","16. A metodologia utilizada foi adequada.","17. Instruções extracurriculares foram transmitidas.","18. A turma foi funcional e produtiva.","19. Havia um responsável para remover os impedimentos que surgiram ao longo da aprendizagem.","20. Havia uma ferramenta que ajudava a ter uma visão geral do andamento da aprendizagem.","21. A experiência dos estudantes ajudou na aprendizagem.","22. Em situações não planejadas, a turma atingiu os resultados esperados.","23. A interpretação das mensagens trocadas foi eficiente.","24. O valor da aprendizagem foi impulsionado pela interação dos estudantes.","25. Combinar atividades entre os estudantes foi facilitada pelo AVA.","26. A troca de informações entre os estudantes foi eficiente.","27. A linguagem entre os participantes foi apropriada.","28. Os estudantes tiveram um entendimento em comum sobre a disciplina estudada.","29. As comunicações síncronas, seja presencial ou virtual, atenderam às necessidades dos estudantes.","30. Os conhecimentos adquiridos individualmente foram compartilhados com a turma.","31. As informações eram claras e acessíveis.","Aviso de consentimento"
"2022/06/06 12:40:56 PM GMT-3","CLAC - UFRJ","5","5","4","3","5","5","4","5","4","5","4","4","4","5","4","4","3","3","4","3","5","4","4","5","4","4","4","3","5","5","5","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/06 1:13:35 PM GMT-3","Servidores UFRJ","3","4","4","4","4","4","3","4","3","4","4","4","3","4","3","3","4","3","4","4","3","3","3","3","3","3","3","3","3","3","4","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/06 2:36:49 PM GMT-3","CLAC - UFRJ","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","4","5","5","4","5","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/06 3:57:24 PM GMT-3","CLAC - UFRJ","5","4","5","4","5","4","5","4","5","5","5","5","5","5","5","4","5","5","5","4","5","3","4","5","3","5","5","4","3","4","5","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/07 9:34:44 AM GMT-3","Servidores UFRJ","3","4","5","4","3","4","3","5","3","5","5","5","3","4","5","5","4","4","5","4","5","4","3","3","4","4","4","4","4","3","4","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/07 10:24:48 AM GMT-3","Servidores UFRJ","5","5","5","4","5","5","3","5","5","4","4","5","5","5","4","5","5","3","5","4","2","3","4","4","3","3","5","3","5","2","5","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/07 2:28:29 PM GMT-3","CLAC - UFRJ","3","4","4","4","3","4","4","5","5","4","3","4","3","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","5","4","4","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/07 2:34:24 PM GMT-3","CLAC - UFRJ","3","4","4","3","4","4","4","4","4","4","4","4","4","4","4","3","3","4","4","3","4","3","3","3","3","4","4","4","4","3","3","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/07 6:36:42 PM GMT-3","CLAC - UFRJ","3","3","3","3","4","4","4","3","3","3","4","3","3","3","4","4","3","4","4","3","4","3","3","4","3","4","4","4","3","3","3","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/08 10:50:56 AM GMT-3","CLAC - UFRJ","4","2","2","3","5","4","4","4","4","4","4","4","4","4","4","2","2","2","4","2","4","4","4","4","3","4","5","4","2","2","4","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/08 11:54:30 PM GMT-3","Graduação da IFMS","2","3","4","2","5","5","5","4","4","4","2","3","2","4","4","3","2","2","2","2","2","3","3","2","5","3","4","3","3","3","4","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/14 6:51:13 PM GMT-3","CLAC - UFRJ","3","3","5","2","5","5","5","5","5","3","5","3","1","5","1","1","2","3","4","1","1","3","5","1","1","1","3","3","3","1","3","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/15 3:11:45 PM GMT-3","Servidores UFRJ","5","4","4","5","5","5","3","5","5","5","5","5","5","4","4","5","5","3","5","3","5","5","5","3","3","3","4","5","5","3","5","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/16 12:07:50 AM GMT-3","CLAC - UFRJ","5","4","4","5","4","5","3","2","4","3","4","4","5","4","4","5","2","4","4","3","5","4","4","4","5","4","5","4","5","3","5","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/20 3:17:33 PM GMT-3","CLAC - UFRJ","5","4","4","3","5","4","5","3","4","4","5","4","3","4","5","4","3","4","5","3","4","5","4","4","4","4","5","5","4","4","4","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/21 12:10:09 PM GMT-3","Servidores UFRJ","5","5","4","4","5","5","4","4","5","5","4","5","4","5","5","5","4","4","4","5","4","4","5","4","5","4","5","5","5","4","5","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/21 12:18:21 PM GMT-3","Servidores UFRJ","3","3","5","2","4","4","3","4","2","3","5","3","2","5","4","5","3","2","4","3","2","2","5","2","5","4","5","4","3","3","4","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/21 2:16:15 PM GMT-3","Sistemas Colaborativos UFRJ","4","5","3","4","3","5","4","5","4","5","5","4","3","4","5","4","3","4","3","4","5","3","3","4","3","3","5","5","5","5","5","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/21 2:17:16 PM GMT-3","Sistemas Colaborativos UFRJ","4","5","4","4","3","4","5","4","5","4","4","4","3","4","5","4","4","4","4","4","5","4","5","4","4","5","5","4","4","4","5","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/21 2:19:47 PM GMT-3","Sistemas Colaborativos UFRJ","3","4","3","3","5","4","4","5","3","3","4","3","2","4","3","5","5","5","4","3","5","4","3","4","5","4","4","5","5","3","5","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/23 11:22:22 AM GMT-3","Sistemas Colaborativos UFRJ","4","4","4","5","5","4","5","4","5","5","4","3","4","5","5","3","5","4","5","2","4","5","1","3","1","3","5","3","4","3","5","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
"2022/06/23 12:45:05 PM GMT-3","CLAC - UFRJ","3","4","5","3","3","5","4","3","5","3","5","5","4","5","4","5","2","4","5","2","5","4","3","3","5","4","5","4","3","3","5","Compreendo que o objetivo dessa pesquisa é analisar a colaboração em um ambiente virtual. Compreendo que meus dados pessoais não são coletados. Além disso, concordo em participar como voluntário."
